Interval=	0.001 s
0.094	-19.1
0.194	-17.7
0.294	-17.9
0.394	-18.6
0.494	-18.6
0.594	-18.4
0.694	-17.6
0.794	-17.9
0.894	-18.6
0.994	-18.0
1.094	-18.5
1.194	-18.8
1.294	-18.1
1.394	-18.5
1.494	-18.6
1.594	-18.0
1.694	-18.3
1.794	-18.7
1.894	-18.0
1.994	-18.1
2.094	-19.1
2.194	-18.0
2.294	-18.8
2.394	-18.7
2.494	-18.4
2.594	-18.0
2.694	-18.2
2.794	-18.8
2.894	-18.9
2.994	-18.5
3.094	-18.5
3.194	-19.0
3.294	-18.1
3.394	-19.1
3.494	-18.9
3.594	-18.4
3.694	-18.3
3.794	-19.0
3.894	-18.6
3.994	-18.6
4.094	-18.6
4.194	-18.5
4.294	-19.0
4.394	-17.9
4.494	-18.6
4.594	-18.6
4.694	-18.3
4.794	-19.0
4.894	-18.1
4.994	-18.3
5.094	-18.8
5.194	-18.7
5.294	-18.7
5.394	-18.0
5.494	-19.0
5.594	-18.7
5.694	-19.2
5.794	-18.0
5.894	-18.0
5.994	-18.2
6.094	-19.2
6.194	-18.3
6.294	-18.8
6.394	-18.6
6.494	-18.7
6.594	-18.8
6.694	-18.0
6.794	-18.5
6.894	-18.8
6.994	-18.3
7.094	-18.2
7.194	-18.8
7.294	-18.8
7.394	-17.9
7.494	-18.5
7.594	-18.6
7.694	-18.6
7.794	-18.3
7.894	-18.4
7.994	-18.8
8.094	-18.1
8.194	-18.5
8.294	-18.8
8.394	-17.9
8.494	-18.8
8.594	-19.0
8.694	-18.9
8.794	-18.8
8.894	-18.5
8.994	-18.1
9.094	-18.8
9.194	-18.5
9.294	-19.0
9.394	-19.0
9.494	-18.2
9.594	-19.1
9.694	-18.4
9.794	-18.7
9.894	-18.9
9.994	-18.4
10.094	-18.2
10.194	-17.8
10.294	-19.1
10.394	-18.8
10.494	-18.2
10.594	-18.4
10.694	-18.4
10.794	-19.5
10.894	-18.9
10.994	-18.7
11.094	-18.9
11.194	-18.8
11.294	-18.2
11.394	-18.4
11.494	-18.7
11.594	-18.7
11.694	-18.7
11.794	-18.7
11.894	-19.2
11.994	-19.0
12.094	-18.0
12.194	-18.1
12.294	-18.6
12.394	-18.4
12.494	-18.8
12.594	-18.8
12.694	-18.5
12.794	-18.2
12.894	-18.5
12.994	-18.8
13.094	-19.1
13.194	-18.3
13.294	-19.2
13.394	-18.2
13.494	-18.9
13.594	-18.2
13.694	-18.6
13.794	-18.4
13.894	-19.0
13.994	-18.8
14.094	-18.8
14.194	-18.2
14.294	-18.5
14.394	-18.3
14.494	-18.7
14.594	-18.5
14.694	-19.1
14.794	-18.5
14.894	-19.3
14.994	-18.2
15.094	-19.0
15.194	-18.3
15.294	-19.3
15.394	-18.1
15.494	-19.6
15.594	-18.8
15.694	-19.1
15.794	-18.7
15.894	-19.2
15.994	-18.8
16.094	-18.8
16.194	-18.9
16.294	-19.2
16.394	-18.9
16.494	-18.2
16.594	-18.5
16.694	-19.0
16.794	-18.0
16.894	-19.0
16.994	-18.2
17.094	-19.6
17.194	-18.7
17.294	-18.6
17.394	-18.9
17.494	-18.5
17.594	-18.9
17.694	-19.0
17.794	-19.0
17.894	-19.3
17.994	-19.3
18.094	-18.7
18.194	-18.7
18.294	-19.2
18.394	-18.7
18.494	-19.3
18.594	-18.9
18.694	-18.6
18.794	-18.4
18.894	-19.1
18.994	-18.4
19.094	-18.9
19.194	-18.9
19.294	-18.6
19.394	-19.0
19.494	-18.8
19.594	-19.4
19.694	-18.8
19.794	-18.6
19.894	-19.1
19.994	-18.7
20.094	-10.1
20.194	-12.3
20.294	-13.9
20.394	-15.3
20.494	-14.8
20.594	-16.8
20.694	-16.9
20.794	-18.9
20.894	-19.4
20.994	-21.2
21.094	-22.1
21.194	-21.6
21.294	-22.0
21.394	-20.8
21.494	-21.1
21.594	-20.2
21.694	-20.6
21.794	-20.8
21.894	-20.6
21.994	-21.3
22.094	-21.1
22.194	-21.2
22.294	-20.9
22.394	-21.0
22.494	-20.7
22.594	-20.3
22.694	-20.4
22.794	-21.2
22.894	-20.7
22.994	-20.6
23.094	-21.2
23.194	-20.2
23.294	-20.4
23.394	-20.9
23.494	-21.0
23.594	-21.0
23.694	-21.3
23.794	-21.0
23.894	-20.9
23.994	-21.7
24.094	-20.9
24.194	-21.3
24.294	-21.3
24.394	-20.9
24.494	-21.8
24.594	-21.8
24.694	-21.1
24.794	-21.3
24.894	-22.0
24.994	-21.6
25.094	-21.7
25.194	-21.1
25.294	-21.7
25.394	-21.6
25.494	-21.5
25.594	-21.2
25.694	-21.7
25.794	-21.3
25.894	-21.9
25.994	-21.4
26.094	-21.2
26.194	-21.9
26.294	-21.2
26.394	-21.9
26.494	-20.9
26.594	-21.5
26.694	-21.7
26.794	-21.5
26.894	-21.5
26.994	-20.8
27.094	-20.8
27.194	-21.3
27.294	-21.3
27.394	-20.8
27.494	-21.2
27.594	-20.9
27.694	-20.6
27.794	-20.5
27.894	-20.4
27.994	-20.7
28.094	-20.7
28.194	-20.2
28.294	-20.0
28.394	-20.0
28.494	-20.2
28.594	-20.1
28.694	-20.1
28.794	-20.0
28.894	-19.9
28.994	-19.8
29.094	-19.7
29.194	-19.5
29.294	-19.4
29.394	-19.8
29.494	-19.4
29.594	-18.8
29.694	-19.1
29.794	-18.6
29.894	-18.8
29.994	-19.3
30.094	-18.7
30.194	-18.5
30.294	-19.1
30.394	-18.3
30.494	-18.3
30.594	-18.5
30.694	-18.4
30.794	-18.2
30.894	-18.3
30.994	-18.3
31.094	-18.1
31.194	-18.2
31.294	-18.1
31.394	-17.8
31.494	-17.9
31.594	-18.0
31.694	-18.1
31.794	-18.0
31.894	-17.7
31.994	-17.9
32.094	-17.4
32.194	-17.5
32.294	-16.7
32.394	-16.9
32.494	-17.0
32.594	-17.3
32.694	-16.7
32.794	-16.9
32.894	-17.1
32.994	-15.9
33.094	-16.1
33.194	-15.7
33.294	-16.6
33.394	-16.8
33.494	-16.7
33.594	-15.9
33.694	-16.2
33.794	-16.3
33.894	-15.4
33.994	-15.2
34.094	-15.2
34.194	-15.3
34.294	-15.3
34.394	-15.0
34.494	-14.9
34.594	-14.8
34.694	-14.7
34.794	-14.7
34.894	-14.7
34.994	-14.6
35.094	-15.2
35.194	-15.3
35.294	-15.3
35.394	-15.4
35.494	-15.5
35.594	-15.4
35.694	-14.6
35.794	-14.2
35.894	-14.1
35.994	-14.6
36.094	-13.9
36.194	-15.0
36.294	-15.3
36.394	-14.8
36.494	-14.3
36.594	-15.0
36.694	-15.1
36.794	-14.3
36.894	-14.2
36.994	-14.9
37.094	-14.7
37.194	-13.5
37.294	-13.6
37.394	-14.0
37.494	-14.3
37.594	-14.0
37.694	-14.3
37.794	-12.9
37.894	-13.2
37.994	-14.0
38.094	-13.6
38.194	-13.7
38.294	-14.2
38.394	-13.2
38.494	-12.9
38.594	-13.3
38.694	-13.1
38.794	-13.4
38.894	-14.0
38.994	-13.0
39.094	-12.8
39.194	-13.4
39.294	-13.6
39.394	-12.3
39.494	-12.3
39.594	-12.9
39.694	-13.3
39.794	-13.0
39.894	-12.6
39.994	-12.2
40.094	-12.0
40.194	-11.8
40.294	-12.6
40.394	-14.1
40.494	-13.6
40.594	-12.8
40.694	-12.4
40.794	-11.8
40.894	-11.6
40.994	-11.4
41.094	-12.0
41.194	-11.7
41.294	-11.6
41.394	-11.6
41.494	-11.7
41.594	-11.3
41.694	-11.6
41.794	-11.6
41.894	-11.2
41.994	-11.0
42.094	-10.9
42.194	-10.8
42.294	-11.6
42.394	-10.7
42.494	-10.2
42.594	-10.0
42.694	-9.5
42.794	-9.5
42.894	-10.5
42.994	-10.6
43.094	-10.0
43.194	-10.0
43.294	-10.6
43.394	-10.5
43.494	-11.3
43.594	-10.7
43.694	-9.6
43.794	-9.6
43.894	-10.0
43.994	-10.4
44.094	-9.4
44.194	-9.3
44.294	-9.7
44.394	-10.2
44.494	-10.6
44.594	-9.0
44.694	-8.8
44.794	-10.1
44.894	-10.3
44.994	-8.7
45.094	-8.9
45.194	-8.9
45.294	-9.3
45.394	-9.7
45.494	-10.1
45.594	-10.0
45.694	-8.7
45.794	-8.8
45.894	-8.5
45.994	-9.3
46.094	-9.9
46.194	-10.3
46.294	-8.6
46.394	-9.4
46.494	-9.8
46.594	-10.2
46.694	-8.2
46.794	-8.9
46.894	-9.7
46.994	-9.8
47.094	-9.9
47.194	-9.3
47.294	-8.2
47.394	-8.3
47.494	-9.3
47.594	-9.4
47.694	-9.8
47.794	-8.6
47.894	-8.2
47.994	-7.9
48.094	-8.1
48.194	-8.8
48.294	-9.5
48.394	-9.2
48.494	-9.5
48.594	-9.6
48.694	-9.1
48.794	-7.9
48.894	-8.7
48.994	-9.4
49.094	-9.2
49.194	-9.9
49.294	-9.2
49.394	-9.8
49.494	-9.2
49.594	-8.1
49.694	-8.5
49.794	-8.4
49.894	-8.3
49.994	-8.3
50.094	-8.1
50.194	-7.7
50.294	-8.2
50.394	-8.7
50.494	-8.6
50.594	-8.8
50.694	-9.6
50.794	-9.8
50.894	-7.9
50.994	-7.2
51.094	-8.2
51.194	-7.6
51.294	-8.3
51.394	-8.7
51.494	-8.5
51.594	-9.0
51.694	-9.3
51.794	-8.6
51.894	-7.8
51.994	-7.3
52.094	-7.9
52.194	-8.6
52.294	-9.2
52.394	-8.8
52.494	-9.1
52.594	-7.7
52.694	-7.4
52.794	-8.6
52.894	-9.0
52.994	-9.0
53.094	-9.5
53.194	-7.4
53.294	-7.3
53.394	-7.2
53.494	-8.2
53.594	-7.8
53.694	-7.9
53.794	-8.6
53.894	-8.8
53.994	-8.9
54.094	-8.8
54.194	-8.9
54.294	-9.0
54.394	-8.7
54.494	-8.9
54.594	-9.2
54.694	-9.8
54.794	-8.8
54.894	-9.2
54.994	-9.3
55.094	-9.1
55.194	-8.9
55.294	-9.2
55.394	-9.4
55.494	-9.0
55.594	-8.8
55.694	-8.0
55.794	-7.6
55.894	-7.4
55.994	-7.7
56.094	-8.8
56.194	-8.7
56.294	-8.9
56.394	-9.2
56.494	-8.7
56.594	-9.4
56.694	-9.5
56.794	-7.7
56.894	-7.7
56.994	-7.4
57.094	-7.8
57.194	-7.9
57.294	-8.8
57.394	-9.0
57.494	-8.8
57.594	-9.2
57.694	-8.6
57.794	-8.0
57.894	-7.6
57.994	-8.6
58.094	-9.3
58.194	-8.8
58.294	-8.4
58.394	-8.3
58.494	-7.5
58.594	-7.4
58.694	-7.2
58.794	-7.2
58.894	-7.8
58.994	-7.7
59.094	-8.6
59.194	-8.8
59.294	-8.9
59.394	-8.6
59.494	-7.6
59.594	-7.1
59.694	-7.2
59.794	-7.6
59.894	-7.0
59.994	-7.5
60.094	-7.2
60.194	-8.0
60.294	-8.8
60.394	-8.5
60.494	-8.9
60.594	-9.3
60.694	-9.2
60.794	-9.2
60.894	-9.0
60.994	-8.8
61.094	-9.0
61.194	-9.0
61.294	-9.0
61.394	-7.5
61.494	-8.1
61.594	-9.1
61.694	-9.2
61.794	-9.2
61.894	-7.6
61.994	-7.7
62.094	-6.8
62.194	-6.5
62.294	-6.3
62.394	-6.5
62.494	-6.3
62.594	-6.9
62.694	-8.1
62.794	-8.4
62.894	-8.0
62.994	-7.4
63.094	-6.8
63.194	-7.2
63.294	-6.8
63.394	-7.2
63.494	-8.4
63.594	-8.1
63.694	-7.5
63.794	-7.1
63.894	-6.8
63.994	-8.3
64.094	-8.7
64.194	-7.0
64.294	-8.1
64.394	-8.7
64.494	-7.1
64.594	-7.5
64.694	-8.7
64.794	-9.0
64.894	-7.1
64.994	-8.2
65.094	-8.8
65.194	-7.5
65.294	-7.8
65.394	-8.5
65.494	-8.5
65.594	-7.9
65.694	-7.6
65.794	-8.8
65.894	-8.8
65.994	-8.8
66.094	-8.6
66.194	-8.8
66.294	-7.4
66.394	-7.3
66.494	-7.8
66.594	-7.4
66.694	-7.4
66.794	-7.9
66.894	-7.1
66.994	-7.1
67.094	-7.7
67.194	-7.1
67.294	-7.6
67.394	-9.0
67.494	-8.6
67.594	-7.3
67.694	-7.2
67.794	-7.3
67.894	-7.3
67.994	-7.4
68.094	-7.4
68.194	-7.3
68.294	-7.2
68.394	-7.4
68.494	-7.6
68.594	-7.6
